i_source,j_destination,dij_distance
1,1,0
1,2,814.27
1,3,264.28
1,4,2677.21
1,5,1457.23
1,6,1464.52
1,7,401.97
1,8,2449.71
1,9,2836.71
1,10,1166.18
1,11,557.07
1,12,2664.87
1,13,307.69
1,14,1702.78
1,15,2833.23
1,16,1396.95
1,17,1396.95
1,18,1724.27
1,19,695.35
1,20,1162.83
1,21,329.73
1,22,2805.82
1,23,85.94
1,24,403.34
1,25,2680.09
1,26,2695.35
1,27,778.8
1,28,816.51
1,29,86.12
1,30,1658.32
1,31,317.29
1,32,1689.72
1,33,2677.84
1,34,1479.31
1,35,2144.83
1,36,996.79
1,37,2833.23
1,38,2777.08
1,39,2678.18
1,40,2188.62
1,41,1384.96
1,42,405.61
1,43,1127.69
1,44,2320.91
1,45,2870.51
1,46,52.38
1,47,225.19
1,48,1413.85
1,49,1413.84
1,50,407.02
2,1,814.27
2,2,0
2,3,659.27
2,4,2370.23
2,5,1004.07
2,6,1013.67
2,7,1043.11
2,8,2461.97
2,9,2666.15
2,10,1396.46
2,11,1363.83
2,12,2650.02
2,13,1060.77
2,14,1687.4
2,15,2880.03
2,16,930.3
2,17,930.3
2,18,1319.3
2,19,946.49
2,20,1396.22
2,21,1123.49
2,22,2524.34
2,23,806.58
2,24,1042.45
2,25,2375.12
2,26,2381.77
2,27,1024.28
2,28,2.6
2,29,847.99
2,30,1375.23
2,31,841.9
2,32,1674.24
2,33,2369.57
2,34,1024.72
2,35,2164.21
2,36,188.97
2,37,2880.03
2,38,2713.53
2,39,2372.54
2,40,2191.35
2,41,1126.97
2,42,1207.28
2,43,315.04
2,44,2009.47
2,45,2699.18
2,46,867.95
2,47,1030.44
2,48,899.26
2,49,912.11
2,50,1049.27
3,1,264.28
3,2,659.27
3,3,0
3,4,2525.96
3,5,1209.01
3,6,1216.37
3,7,414.19
3,8,2343.69
3,9,2710.06
3,10,1071.94
3,11,804.89
3,12,2552.49
3,13,446.42
3,14,1588.32
3,15,2731.94
3,16,1151.21
3,17,1151.21
3,18,1499.42
3,19,605.84
3,20,1069.22
3,21,567.45
3,22,2647.69
3,23,206.96
3,24,414.79
3,25,2529.23
3,26,2536.42
3,27,685.79
3,28,661.19
3,29,223.59
3,30,1496
3,31,195.51
3,32,1574.45
3,33,2526.44
3,34,1231.02
3,35,2040.97
3,36,844.03
3,37,2731.94
3,38,2674.26
3,39,2527.15
3,40,2083.24
3,41,1230.99
3,42,649.83
3,43,978.12
3,44,2168.58
3,45,2755.99
3,46,293.27
3,47,478.28
3,48,1168.93
3,49,1166.45
3,50,421.14
4,1,2677.21
4,2,2370.23
4,3,2525.96
4,4,0
4,5,1372.18
